GEO_ID,NAME,P9_001N,P9_002N,P9_003N,P9_004N,P9_005N,P9_006N,P9_007N,P9_008N,P9_009N,P9_010N,P9_011N
860Z200US00601,00601,17242,17185,57,47,37,1,0,0,0,9,10
860Z200US00602,00602,37548,37278,270,249,213,10,3,10,0,13,21
860Z200US00603,00603,49804,48996,808,748,584,80,5,49,1,29,60
860Z200US00606,00606,5009,4974,35,30,26,1,0,2,0,1,5
860Z200US00610,00610,25731,25489,242,222,179,19,0,5,4,15,20
860Z200US00611,00611,1671,1654,17,16,12,0,0,2,0,2,1
860Z200US00612,00612,62425,61908,517,496,374,46,0,38,0,38,21
860Z200US00616,00616,9828,9786,42,39,27,7,0,0,0,5,3
860Z200US00617,00617,22541,22430,111,104,70,8,12,3,0,11,7
860Z200US00622,00622,7838,7702,136,131,110,16,0,2,0,3,5
860Z200US00623,00623,39320,38887,433,413,317,25,3,32,0,36,20
860Z200US00624,00624,21709,21598,111,107,69,20,0,8,0,10,4
860Z200US00627,00627,32873,32570,303,287,250,8,3,5,0,21,16
860Z200US00631,00631,1414,1407,7,6,4,0,0,0,0,2,1
860Z200US00636,00636,555,545,10,10,9,1,0,0,0,0,0
860Z200US00637,00637,23124,22996,128,119,92,11,1,4,0,11,9
860Z200US00638,00638,18109,18004,105,100,60,5,3,14,0,18,5
860Z200US00641,00641,24292,24113,179,176,147,8,2,9,3,7,3
860Z200US00646,00646,36272,35056,1216,1124,926,67,4,88,2,37,92
860Z200US00647,00647,4611,4574,37,36,30,2,0,0,0,4,1
860Z200US00650,00650,13637,13566,71,65,45,7,0,4,0,9,6
860Z200US00652,00652,4020,4005,15,14,10,0,0,2,0,2,1
860Z200US00653,00653,9244,9156,88,83,65,12,0,0,0,6,5
860Z200US00656,00656,17965,17903,62,43,29,3,0,1,2,8,19
860Z200US00659,00659,37421,37111,310,286,211,45,2,21,0,7,24
860Z200US00660,00660,15448,15333,115,107,75,15,1,7,0,9,8
860Z200US00662,00662,40770,40232,538,501,399,42,1,23,1,35,37
860Z200US00664,00664,15066,14987,79,78,57,10,0,3,0,8,1
860Z200US00667,00667,23522,23342,180,176,130,20,0,7,1,18,4
860Z200US00669,00669,27833,27635,198,186,116,9,5,9,0,47,12
860Z200US00670,00670,8828,8756,72,60,44,7,0,4,0,5,12
860Z200US00674,00674,39345,39054,291,278,196,31,0,20,0,31,13
860Z200US00676,00676,36706,36566,140,129,77,23,2,14,0,13,11
860Z200US00677,00677,15379,14600,779,750,691,24,6,11,0,18,29
860Z200US00678,00678,25410,25206,204,186,161,8,0,7,2,8,18
860Z200US00680,00680,46056,45650,406,384,290,44,4,31,0,15,22
860Z200US00682,00682,28299,27719,580,554,410,64,0,53,0,27,26
860Z200US00683,00683,29788,29571,217,204,145,27,1,16,0,15,13
860Z200US00685,00685,40294,40050,244,233,171,15,4,5,0,38,11
860Z200US00687,00687,28727,28604,123,110,86,1,2,6,1,14,13
860Z200US00688,00688,12443,12375,68,67,49,9,0,5,0,4,1
860Z200US00690,00690,5326,5261,65,62,44,9,0,6,0,3,3
860Z200US00692,00692,32873,32457,416,404,248,57,5,44,0,50,12
860Z200US00693,00693,56095,55690,405,357,279,31,10,13,0,24,48
860Z200US00694,00694,231,228,3,3,3,0,0,0,0,0,0
